sType; sKey; sValue; sLowerBound; sUpperBound; Direction; iType; iItemName; iItemIcon; iKey; iModifierName; iModifierKey; iAppliedPath
Equals; urn:mdr9:dataelement:5:1; Gewebeprobe; ; ; <; ; Gewebeprobe; LA; urn:mdr9:dataelement:5:1_Gewebeprobe; ; ; 
Equals; urn:mdr9:dataelement:5:1; Flüssigprobe; ; ; <; ; Flüssigprobe; LA; urn:mdr9:dataelement:5:1_Flüssigprobe; ; ; 
Equals; urn:mdr9:dataelement:2:1; W; ; ; <; ; weiblich; LA; urn:mdr9:dataelement:2:1_W; ; ; 
Equals; urn:mdr9:dataelement:2:1; M; ; ; <; ; männlich; LA; urn:mdr9:dataelement:2:1_M; ; ; 
Like; urn:mdr9:dataelement:6:1; C34%; ; ; <; ; Bösartige Neubildungen der Atmungsorgane und sonstiger intrathorakaler Organe; FA; urn:mdr9:dataelement:3:1_C30-C39; ; ; 
Equals; urn:mdr9:dataelement:4:1; Normalgewebe; ; ; <; ; Normalgewebe; LA; urn:mdr9:dataelement:4:1_Normalgewebe; ; ; 
Equals; urn:mdr9:dataelement:4:1; Tumorgewebe; ; ; <; ; Tumorgewebe; LA; urn:mdr9:dataelement:4:1_Tumorgewebe; ; ; 
Between; urn:mdr9:dataelement:1:1; ; 0; 9; <; ; 00-09 Jahre; LA; urn:mdr9:dataelement:1:1_00-09 Jahre; ; ; 
Between; urn:mdr9:dataelement:1:1; ; 10; 19; <; ; 10-19 Jahre; LA; urn:mdr9:dataelement:1:1_10-19 Jahre; ; ; 
Between; urn:mdr9:dataelement:1:1; ; 20; 29; <; ; 20-29 Jahre; LA; urn:mdr9:dataelement:1:1_20-29 Jahre; ; ; 
Between; urn:mdr9:dataelement:1:1; ; 30; 39; <; ; 30-39 Jahre; LA; urn:mdr9:dataelement:1:1_30-39 Jahre; ; ; 
Between; urn:mdr9:dataelement:1:1; ; 40; 49; <; ; 40-49 Jahre; LA; urn:mdr9:dataelement:1:1_40-49 Jahre; ; ; 
Between; urn:mdr9:dataelement:1:1; ; 50; 59; <; ; 50-59 Jahre; LA; urn:mdr9:dataelement:1:1_50-59 Jahre; ; ; 
Between; urn:mdr9:dataelement:1:1; ; 60; 69; <; ; 60-69 Jahre; LA; urn:mdr9:dataelement:1:1_60-69 Jahre; ; ; 
Between; urn:mdr9:dataelement:1:1; ; 70; 79; <; ; 70-79 Jahre; LA; urn:mdr9:dataelement:1:1_70-79 Jahre; ; ; 
Between; urn:mdr9:dataelement:1:1; ; 80; 89; <; ; 80-89 Jahre; LA; urn:mdr9:dataelement:1:1_80-89 Jahre; ; ; 
Between; urn:mdr9:dataelement:1:1; ; 90; 99; <; ; 90-99 Jahre; LA; urn:mdr9:dataelement:1:1_90-99 Jahre; ; ; 
Between; urn:mdr9:dataelement:1:1; ; 100; 109; <; ; 100-109 Jahre; LA; urn:mdr9:dataelement:1:1_100-109 Jahre; ; ; 
Between; urn:mdr9:dataelement:1:1; ; 110; 119; <; ; 110-119 Jahre; LA; urn:mdr9:dataelement:1:1_110-119 Jahre; ; ; 
Between; urn:mdr9:dataelement:1:1; ; 120; 129; <; ; 120-129 Jahre; LA; urn:mdr9:dataelement:1:1_120-129 Jahre; ; ; 
Between; urn:mdr9:dataelement:1:1; ; 130; 139; <; ; 130-139 Jahre; LA; urn:mdr9:dataelement:1:1_130-139 Jahre; ; ; 
Between; urn:mdr9:dataelement:1:1; ; 140; 149; <; ; 140-149 Jahre; LA; urn:mdr9:dataelement:1:1_140-149 Jahre; ; ; 
; ; ; ; ; <; ; Sub; LA; examplesub; ; ; 
Equals; urn:adt:dataelement:13:1; 123456; ; ; >; ; ; ; ; ; ; 
Equals; urn:adt:dataelement:26:1; 16.09.2016; ; ; >; ; ; ; ; ; ; 
Like; urn:dktk:dataelement:29:2; %C34.%; ; ; >; ; ; ; ; ; ; 
Equals; urn:dktk:dataelement:7:2; 8310/3; ; ; >; ; ; ; ; ; ; 
Equals; urn:dktk:dataelement:7:2; 8333/3; ; ; >; ; ; ; ; ; ; 
Equals; urn:dktk:dataelement:7:2; 8470/3; ; ; >; ; ; ; ; ; ; 
Equals; urn:dktk:dataelement:7:2; 8480/3; ; ; >; ; ; ; ; ; ; 
Equals; urn:dktk:dataelement:7:2; 8490/3; ; ; >; ; ; ; ; ; ; 
Equals; urn:dktk:dataelement:7:2; 8550/3; ; ; >; ; ; ; ; ; ; 
Equals; urn:dktk:dataelement:7:2; 8052/3; ; ; >; ; ; ; ; ; ; 
Equals; urn:dktk:dataelement:7:2; 8140/3; ; ; >; ; ; ; ; ; ; 
Equals; urn:dktk:dataelement:7:2; 8141/3; ; ; >; ; ; ; ; ; ; 
Equals; urn:dktk:dataelement:7:2; 8143/3; ; ; >; ; ; ; ; ; ; 
Equals; urn:dktk:dataelement:7:2; 8147/3; ; ; >; ; ; ; ; ; ; 
